张莹	65567
陈飞	65439
王博	65203
刘浩	65167
黄秀英	65086
刘玉英	64842
李淑珍	64842
黄勇	64746
周伟	64520
王秀芳	64411
王丽华	64150
王丹丹	64069
李彬	63966
王桂香	63959
王坤	63857
刘慧	63772
李想	63699
张瑞	63556
张桂珍	63383
王淑华	63375
刘帅	63364
张飞	63152
张秀芳	63056
王洋	62713
陈洁	62710
张桂芳	62681
张丽娟	62678
王荣	62561
吴秀英	62432
杨明	62105
李桂香	61863
马丽	61847
刘倩	61733
杨秀兰	61656
杨玲	61634
王秀华	61595
杨平	61560
王彬	61465
李亮	61419
李荣	61362
李桂芝	61306
李琳	61199
李岩	61102
李建	60967
王兵	60858
王桂芳	60701
王明	60622
陈梅	60385
张春梅	60327
李杨	60266
王岩	60135
王冬梅	59986
刘峰	59934
李秀华	59910
李丹丹	59875
杨雪	59778
刘玉华	59735
马秀英	59709
张丽华	59665
张淑珍	59490
李小红	59385
张博	59248
王欣	59172
王桂芝	59158
赵丽	59148
张秀华	59129
张琳	59116
黄敏	59029
杨娟	58945
王金凤	58572
周杰	58524
王雷	58345
陈建华	58276
刘梅	58263
杨桂英	57862
李淑英	57770
陈玉英	57697
杨秀珍	57619
孙秀英	57612
赵军	57539
赵勇	57537
刘兵	57490
杨斌	57411
李文	57293
陈琳	57098
陈萍	57041
孙伟	57040
张利	56981
陈俊	56922
张楠	56877
刘桂珍	56753
刘宇	56711
刘建军	56648
张淑英	56633
李红霞	56541
赵秀英	56482
李博	56442
王利	56428
张荣	56301
张帆	56299
王建平	56221
张桂芝	56165
张瑜	56093
周勇	55618
张坤	55579
徐伟	55567
王桂花	55558
刘琴	55539
周静	55423
徐敏	55400
刘婷婷	55384
徐静	55363
杨红	55124
王璐	55111
张淑兰	55061
张文	54794
杨燕	54700
陈桂兰	54687
周丽	54684
李淑华	54643
陈鑫	54592
马超	54458
刘建国	54345
李桂花	54307
王凤兰	54228
李淑兰	54074
陈秀珍	54060
